instance family sat lad snd vf2 sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
si4_r005_m200.03 7 1 15114 2006 1e8 108 99 99 15 2639 38
si6_b09m_m400.03 4 1 050 10516 5 163 161 161 12 391 25
si6_b09m_m400.07 4 1 049 8891 4 298 273 255 17 389 38
si6_b09m_m400.00 4 1 047 9565 4 187 194 189 13 422 24
si6_b09m_m400.04 4 1 061 8842 4 389 388 345 13 515 40
si6_b09m_m400.06 4 1 048 9157 5 203 166 172 13 388 25
si6_b09m_m400.08 4 1 046 10721 7 354 408 320 18 511 30
si6_b09m_m400.02 4 1 048 8945 4 475 360 397 13 521 30
si6_b09m_m400.05 4 1 045 8826 4 158 159 156 13 603 23
si6_b09m_m400.09 4 1 078 11350 4 144 145 140 12 341 25
si6_b09m_m400.01 4 1 062 10936 4 173 171 168 14 643 24
si2_b09_m200.08 3 1 062 656 1 24 24 37 1 30 12
si2_b09_m200.01 3 1 052 716 1 24 23 27 1 30 12
si2_b09_m200.06 3 1 075 680 0 26 24 25 2 30 15
si2_b09_m200.05 3 1 066 637 0 27 24 28 1 31 14
si2_b09_m200.00 3 1 056 633 1 36 24 24 1 30 13
si2_b09_m200.02 3 1 048 697 0 24 23 25 1 30 13
si2_b09_m200.03 3 1 082 620 0 25 26 37 1 29 13
si2_b09_m200.04 3 1 049 742 1 26 28 29 1 49 12
si2_b09_m200.09 3 1 082 684 1 32 24 25 2 30 13
si2_b09_m200.07 3 1 066 651 0 24 34 25 2 30 12
si6_r01_m600.02 7 1 55001268 1e8 1e8 71550 70689 118404 34758 20475827 21593
si6_r01_m600.06 7 1 58524583 57639299 1e8 62332 61572 122836 28356 27768136 37578
si6_r01_m600.09 7 1 20972790 1e8 1e8 28639 28592 94687 6916 4075923 6179
si6_r01_m600.08 7 1 20756331 1e8 1e8 208294 204878 371034 124995 78416792 43084
si6_r01_m600.05 7 1 5229247 1e8 1e8 46672 45838 79906 18366 12484192 10894
si6_r01_m600.07 7 1 38754158 1e8 1e8 246921 242832 263958 152210 97344702 93566
si6_r01_m600.03 7 1 1e8 56084050 1e8 121812 120199 344289 64262 34760431 27504
si6_r01_m600.00 7 1 32986886 41022238 1e8 49681 49157 308448 19534 7361210 8743
si6_r01_m600.01 7 1 34803480 1e8 1e8 620983 610211 577222 394306 369491289 235872
si6_r01_m600.04 7 1 31235474 26235566 1e8 428585 421077 578469 264028 272355573 133743
si2_b06_m200.02 3 1 047 610 0 20 17 21 1 90 12
si2_b06_m200.00 3 1 060 552 1 16 23 15 2 53 12
si2_b06_m200.01 3 1 050 553 0 15 14 14 1 55 11
si2_b06_m200.06 3 1 039 641 0 19 20 15 2 54 11
si2_b06_m200.09 3 1 034 591 1 15 14 22 1 53 12
si2_b06_m200.07 3 1 037 614 0 15 15 15 1 53 12
si2_b06_m200.04 3 1 033 552 0 22 23 14 2 58 11
si2_b06_m200.08 3 1 033 657 0 22 14 22 2 54 11
si2_b06_m200.03 3 1 034 584 1 23 23 15 2 86 12
si2_b06_m200.05 3 1 051 731 1 15 23 17 2 54 11
si6_m4Dr2_m1296.05 6 1 350 291286 38 714 723 676 170 12236 179
si6_m4Dr2_m1296.09 6 1 1125 475453 44 987 1153 757 246 12932 175
si6_m4Dr2_m1296.01 6 1 331 261450 38 1692 1251 1331 231 9867 191
si6_m4Dr2_m1296.06 6 1 342 317472 41 1658 1654 1622 177 17618 187
si6_m4Dr2_m1296.07 6 1 533 381012 46 855 856 816 172 17886 176
si6_m4Dr2_m1296.03 6 1 310 200250 38 1265 1261 1227 166 11232 190
si6_m4Dr2_m1296.04 6 1 300 237334 40 2142 2138 2101 165 10036 230
si6_m4Dr2_m1296.00 6 1 359 395677 41 1586 1815 1595 167 16507 193
si6_m4Dr2_m1296.08 6 1 431 182406 37 1451 1232 1171 170 10526 186
si6_m4Dr2_m1296.02 6 1 335 276321 37 1208 1186 1239 196 9009 191
si2_b09m_m800.09 4 1 074 18075 11 182 206 186 27 433 39
si2_b09m_m800.07 4 1 074 22291 11 357 360 359 16 678 50
si2_b09m_m800.00 4 1 067 17298 11 211 222 212 17 475 38
si2_b09m_m800.04 4 1 067 17793 12 298 327 297 16 540 52
si2_b09m_m800.02 4 1 073 18477 12 430 470 475 26 636 50
si2_b09m_m800.05 4 1 102 18313 13 209 211 244 17 554 37
si2_b09m_m800.03 4 1 523 20377 11 237 233 232 34 557 39
si2_b09m_m800.08 4 1 104 20058 12 459 382 329 26 552 46
si2_b09m_m800.06 4 1 451 18572 16 233 234 244 18 562 37
si2_b09m_m800.01 4 1 146 19609 12 216 226 217 18 509 40
si4_b03_m400.01 3 1 419 2963 2 37 37 36 8 4466 74
si4_b03_m400.02 3 1 248 2536 3 38 36 52 8 4513 72
si4_b03_m400.05 3 1 362 2732 2 37 56 50 7 4323 67
si4_b03_m400.07 3 1 377 2725 2 44 40 38 8 4487 68
si4_b03_m400.06 3 1 330 3307 2 38 38 36 7 4226 73
si4_b03_m400.00 3 1 439 2668 3 37 41 37 8 4227 73
si4_b03_m400.03 3 1 443 2946 3 48 38 36 6 4455 67
si4_b03_m400.04 3 1 253 3288 1 59 59 37 12 4383 73
si4_b03_m400.09 3 1 233 3203 2 50 47 36 7 4711 71
si4_b03_m400.08 3 1 243 2631 2 39 59 38 6 4399 76
si2_b03_m200.05 3 1 029 466 0 5 5 5 1 71 11
si2_b03_m200.09 3 1 015 497 0 5 5 5 1 125 11
si2_b03_m200.07 3 1 016 494 0 5 6 5 1 124 11
si2_b03_m200.01 3 1 018 667 0 9 5 9 1 100 10
si2_b03_m200.08 3 1 026 506 0 5 5 5 1 71 13
si2_b03_m200.02 3 1 017 493 0 5 5 5 1 71 11
si2_b03_m200.04 3 1 016 494 0 5 7 5 1 70 11
si2_b03_m200.03 3 1 015 518 0 5 5 5 1 71 12
si2_b03_m200.06 3 1 029 535 0 5 7 5 1 72 11
si2_b03_m200.00 3 1 029 534 0 6 8 5 1 71 12
si4_r005_m600.00 7 1 4083973 132539 1e8 25908 25505 33277 13962 15402698 12703
si4_r005_m600.02 7 1 2002345 3262405 1e8 7626 7617 6463 2066 5906152 4478
si4_r005_m600.08 7 1 829986 5765266 1e8 27655 27251 21187 15462 24223997 14497
