instance sat family size gpgnode/vbbjdpd flint/vbbjdpdfad gpgnode/vbbjdpdnocad
si6-b03-m400.01 1 3 400 241 241 241
si6-b03-m400.07 1 3 400 241 241 241
si6-b03-m400.03 1 3 400 241 241 241
si6-b03-m400.00 1 3 400 241 241 241
si2-r005-m600.03 1 7 600 623912 616637 872425
si2-r005-m600.00 1 7 600 15299650 15246433 16155356
si2-r005-m600.06 1 7 600 942181 937926 1035671
si2-r005-m600.01 1 7 600 3764976 3742640 4076595
si2-r005-m600.04 1 7 600 9424421 9359047 10314695
si2-r005-m600.09 1 7 600 858182 818482 1240495
si2-r005-m600.05 1 7 600 45575857 44996316 50355503
si2-r005-m600.02 1 7 600 10333495 10192093 11515302
si2-r005-m600.08 1 7 600 2294902 2280156 2530592
si2-r005-m600.07 1 7 600 233818 232732 275890
si4-r01-m600.05 1 7 600 253588 163097 1668023
si4-r01-m600.02 1 7 600 466397 438230 1195356
si4-r01-m600.03 1 7 600 2279452 1943950 4939387
si4-r01-m600.07 1 7 600 4026555 3615475 9918727
si4-r01-m600.08 1 7 600 3277425 2902192 7954733
si4-r01-m600.06 1 7 600 1176099 1092139 3383634
si4-r01-m600.01 1 7 600 12257999 11172889 18001882
si4-r01-m600.04 1 7 600 3388915 3071954 7958827
si4-r01-m600.00 1 7 600 7790299 6558951 18881583
si4-r01-m600.09 1 7 600 1925625 1113833 10277861
si2-b09-m400.04 1 3 400 81 81 81
si2-b09-m400.08 1 3 400 81 81 81
