instance sat family size vbbjdpd ttvbbjdpd32j ttvbbjdpd32g
si2-b03m-m200.06 1 4 200 10 13 11
si2-b03m-m200.02 1 4 200 6 12 11
si2-b03m-m200.09 1 4 200 9 10 9
si2-b03m-m200.04 1 4 200 12 15 14
si2-b03m-m200.01 1 4 200 10 16 17
si2-b03m-m200.07 1 4 200 4 10 11
si4-r001-m200.04 1 7 200 9 9 9
si4-r001-m200.07 1 7 200 18 14 12
si4-r001-m200.00 1 7 200 10 10 9
si4-r001-m200.01 1 7 200 10 10 9
si4-r001-m200.03 1 7 200 11 12 9
si4-r001-m200.06 1 7 200 19 12 11
si4-r001-m200.05 1 7 200 12 9 10
si4-r001-m200.08 1 7 200 10 10 11
si4-r001-m200.09 1 7 200 12 14 14
si4-r001-m200.02 1 7 200 17 12 11
si2-m4D-m256.08 1 5 256 29 15 15
si2-m4D-m256.03 1 5 256 25 12 11
si2-m4D-m256.02 1 5 256 22 18 19
si2-m4D-m256.06 1 5 256 17 13 14
si2-m4D-m256.04 1 5 256 19 13 13
si2-m4D-m256.07 1 5 256 21 17 19
si2-m4D-m256.01 1 5 256 25 11 11
si2-m4D-m256.09 1 5 256 23 13 15
si2-m4D-m256.00 1 5 256 43 22 22
si2-m4D-m256.05 1 5 256 18 12 12
si6-r01-m400.04 1 7 400 21282 4121 4239
si6-r01-m400.08 1 7 400 6328 1244 1251
si6-r01-m400.07 1 7 400 13761 2027 2300
si6-r01-m400.06 1 7 400 12920 1947 1763
si6-r01-m400.05 1 7 400 52833 6085 7892
si6-r01-m400.02 1 7 400 15532 2505 2365
si6-r01-m400.00 1 7 400 15174 3187 2450
si6-r01-m400.03 1 7 400 8910 1520 1623
si6-r01-m400.01 1 7 400 13849 2225 2246
si6-r01-m400.09 1 7 400 28562 6118 6826
si2-m4Dr4-m625.07 1 6 625 145 34 30
si2-m4Dr4-m625.02 1 6 625 65 29 31
si2-m4Dr4-m625.03 1 6 625 204 46 43
si2-m4Dr4-m625.00 1 6 625 110 37 33
si2-m4Dr4-m625.05 1 6 625 120 35 31
si2-m4Dr4-m625.06 1 6 625 132 39 38
si2-m4Dr4-m625.09 1 6 625 80 73 75
si2-m4Dr4-m625.01 1 6 625 76 32 29
si2-m4Dr4-m625.08 1 6 625 78 39 37
si2-m4Dr4-m625.04 1 6 625 82 40 40
si4-r01-m400.01 1 7 400 3035 1296 1484
si4-r01-m400.08 1 7 400 62465 17514 17879
si4-r01-m400.02 1 7 400 223332 23680 21833
si4-r01-m400.03 1 7 400 26376 5577 4900
si4-r01-m400.07 1 7 400 52715 5622 5827
si4-r01-m400.06 1 7 400 5925 2377 1632
si4-r01-m400.04 1 7 400 201284 20266 20969
si4-r01-m400.00 1 7 400 349335 35642 35431
si4-r01-m400.05 1 7 400 13512 4164 5615
si4-r01-m400.09 1 7 400 42822 11429 8674
si2-b09m-m400.09 1 4 400 78 19 22
si2-b09m-m400.03 1 4 400 66 19 17
si2-b09m-m400.01 1 4 400 52 15 16
si2-b09m-m400.08 1 4 400 55 17 19
si2-b09m-m400.05 1 4 400 66 16 16
si2-b09m-m400.06 1 4 400 50 16 17
si2-b09m-m400.00 1 4 400 59 19 16
si2-b09m-m400.02 1 4 400 53 15 20
si2-b09m-m400.04 1 4 400 51 19 16
si2-b09m-m400.07 1 4 400 53 23 16
si2-b09-m800.07 1 3 800 403 254 171
si2-b09-m800.04 1 3 800 404 165 174
si2-b09-m800.05 1 3 800 403 172 167
si2-b09-m800.00 1 3 800 404 183 153
si2-b09-m800.02 1 3 800 403 170 158
si2-b09-m800.01 1 3 800 476 172 167
si2-b09-m800.08 1 3 800 404 170 173
si2-b09-m800.09 1 3 800 405 160 161
si2-b09-m800.03 1 3 800 405 174 138
si2-b09-m800.06 1 3 800 403 169 168
si6-b03-m400.04 1 3 400 54 126 125
si6-b03-m400.09 1 3 400 60 130 127
si6-b03-m400.02 1 3 400 54 125 126
si6-b03-m400.06 1 3 400 63 116 123
si6-b03-m400.05 1 3 400 54 123 135
si6-b03-m400.08 1 3 400 57 125 134
si6-b03-m400.01 1 3 400 56 123 130
si6-b03-m400.07 1 3 400 54 129 130
si6-b03-m400.03 1 3 400 54 123 127
si6-b03-m400.00 1 3 400 60 131 132
si2-r005-m600.03 1 7 600 25061 56153 51859
si2-r005-m600.00 1 7 600 472606 53556 51974
si2-r005-m600.06 1 7 600 31592 17259 22552
si2-r005-m600.01 1 7 600 119855 40160 22513
si2-r005-m600.04 1 7 600 299135 55294 57381
si2-r005-m600.09 1 7 600 34019 56221 44554
