instance family sat sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
si2_m4Dr2_m625.08 6 1 126 126 126 126 126 126
si2_m4Dr2_m625.09 6 1 126 126 126 140 126 126
si2_m4Dr2_m625.06 6 1 128 128 128 4165 127 129
si2_m4Dr2_m625.04 6 1 126 126 128 341 126 126
si2_m4Dr2_m625.01 6 1 126 126 126 129 126 134
si2_m4Dr2_m625.03 6 1 126 126 126 30927 126 126
si2_m4Dr2_m625.02 6 1 137 137 971 1898 137 137
si2_m4Dr2_m625.07 6 1 126 126 126 159 126 126
si2_r005_m200.02 7 1 859 866 1724 1665 858 808
si2_r005_m200.01 7 1 77539 81490 81562 129535 77476 127673
si2_r005_m200.03 7 1 11450 13071 12133 27107 11457 25557
si2_r005_m200.05 7 1 3626199 3662220 3965154 1057577 3611807 2840704
si2_r005_m200.08 7 1 491112 509896 528748 1121269 489888 349355
si2_r005_m200.04 7 1 2417392 2467553 2513700 5128272 2416190 1553400
si2_r005_m200.09 7 1 14662 17438 15917 89847 14637 802
si2_r005_m200.06 7 1 30835 31628 33387 68260 30814 40020
si2_r005_m200.00 7 1 199088 206394 237355 160403 198610 60033
si2_r005_m200.07 7 1 8524 8853 10367 124451 8490 5532
si4_b03m_m400.03 4 1 161 161 161 165 161 161
si4_b03m_m400.09 4 1 161 161 161 166 161 161
si4_b03m_m400.08 4 1 161 161 161 165 161 161
si4_b03m_m400.04 4 1 161 161 161 225 161 161
si4_b03m_m400.00 4 1 161 161 161 165 161 161
si4_b03m_m400.01 4 1 161 161 161 211 161 161
si4_b03m_m400.07 4 1 161 161 161 170 161 161
si4_b03m_m400.02 4 1 161 161 161 161 161 161
si4_b03m_m400.06 4 1 161 161 161 300 161 161
si4_b03m_m400.05 4 1 161 161 161 161 161 161
si2_r01_m600.01 7 1 8665989 8706362 11302458 8665989 8388310 8879187
si2_r01_m600.06 7 1 5431515 5452188 6393022 5431515 5400467 5340838
si2_r01_m600.09 7 1 18473903 18517656 25324244 18473903 17959348 18165702
si2_r01_m600.08 7 1 35388046 35483566 41183839 35388046 34834572 32025019
si2_r01_m600.04 7 1 41329211 41481333 50965787 41329211 40545189 43415375
si2_r01_m600.02 7 1 120082292 120359674 138016066 120082292 118190896 124511555
si2_r01_m600.00 7 1 732564178 735514040 909075157 732564178 1e9 758453023
si2_r01_m600.07 7 1 12521455 12552682 14501574 12521455 12263893 13014267
si2_r01_m600.03 7 1 73526971 73741462 94076908 73526971 70212673 71877370
si2_r01_m600.05 7 1 6421280 6432378 8253657 6421280 6366060 6626140
si4_m4Dr6_m256.01 6 1 103 103 103 116 103 103
si4_m4Dr6_m256.00 6 1 114 114 114 507 114 114
si4_m4Dr6_m256.05 6 1 108 108 112 1016 107 108
si4_m4Dr6_m256.08 6 1 105 105 106 4504 104 105
si4_m4Dr6_m256.03 6 1 103 103 103 103 103 103
si4_m4Dr6_m256.06 6 1 103 103 103 305 103 103
si4_m4Dr6_m256.09 6 1 103 103 103 107 103 103
si4_m4Dr6_m256.07 6 1 105 105 109 3878 105 112
si4_m4Dr6_m256.02 6 1 103 103 103 119 103 103
si4_m4Dr6_m256.04 6 1 105 105 105 2862 105 105
si2_b03m_m400.02 4 1 81 81 81 84 81 81
si2_b03m_m400.00 4 1 81 81 81 88 81 81
si2_b03m_m400.01 4 1 81 81 81 88 81 81
si2_b03m_m400.05 4 1 81 81 81 81 81 81
si2_b03m_m400.08 4 1 81 81 81 82 81 81
si2_b03m_m400.07 4 1 81 81 81 121 81 81
si2_b03m_m400.09 4 1 81 81 81 89 81 81
si2_b03m_m400.03 4 1 81 81 81 89 81 81
si2_b03m_m400.04 4 1 81 81 81 111 81 81
si2_b03m_m400.06 4 1 81 81 81 110 81 81
si2_b03m_m200.05 4 1 41 41 41 41 41 41
si2_b03m_m200.03 4 1 41 41 41 41 41 41
si2_b03m_m200.00 4 1 41 41 41 41 41 41
