instance sat family density lad ttvbbjdpd32g vbbjdpd vbbjdpdnosup vf2 abscon snd
si6-r01-m600.08 1 7 360 20756331.557000 43084 208294 124995 100000000 32827811.000 100000000
si6-r01-m600.05 1 7 360 5229247.033000 10894 46672 18366 100000000 19688071.000 100000000
si6-r01-m600.07 1 7 360 38754158.472000 93566 246921 152210 100000000 100000000 100000000
si6-r01-m600.03 1 7 360 100000000 27504 121812 64262 100000000 32399817.000 56084050.00
si6-r01-m600.00 1 7 360 32986886.231000 8743 49681 19534 100000000 15339136.000 41022238.000
si6-r01-m600.01 1 7 360 34803480.066000 235872 620983 394306 100000000 65534385.000 100000000
si6-r01-m600.04 1 7 360 31235474.486000 133743 428585 264028 100000000 17169534.000 26235566.000
si2-b06-m200.02 1 3 40 47.992000 12 20 1 0 570.00 610.00
si2-b06-m200.00 1 3 40 60.990000 12 16 2 0 747.000 552.000
si2-b06-m200.01 1 3 40 50.992000 11 15 1 0 719.000 553.000
si2-b06-m200.06 1 3 40 39.993000 11 19 2 0 573.000 641.000
si2-b06-m200.09 1 3 40 34.994000 12 15 1 0 598.000 591.000
si2-b06-m200.07 1 3 40 37.994000 12 15 1 0 587.000 614.000
si2-b06-m200.04 1 3 40 33.994000 11 22 2 0 553.000 552.000
si2-b06-m200.08 1 3 40 33.994000 11 22 2 0 673.000 657.000
si2-b06-m200.03 1 3 40 34.994000 12 23 2 0 811.000 584.000
si2-b06-m200.05 1 3 40 51.992000 11 15 2 0 650.00 731.000
si6-m4Dr2-m1296.05 1 6 777 350.946000 179 714 170 8 34499.000 291286.000
