instance sat lad vbbjdpd vbbjdpdnosup vb ttvbbjdpd32g vf2 snd
si6_b09m_m400.07 1 49.992000 298 17 247 38 1 8891.000
si6_b09m_m400.00 1 47.992000 187 13 166 24 1 9565.000
si6_b09m_m400.04 1 61.990000 389 13 309 40 1 8842.000
si6_b09m_m400.06 1 48.992000 203 13 215 25 1 9157.000
si6_b09m_m400.08 1 46.992000 354 18 280 30 2 10721.000
si6_b09m_m400.02 1 48.992000 475 13 281 30 1 8945.000
si6_b09m_m400.05 1 45.993000 158 13 170 23 1 8826.000
si6_b09m_m400.09 1 78.987000 144 12 123 25 1 11350.00
si6_b09m_m400.01 1 62.990000 173 14 152 24 2 10936.000
si2_b09_m200.08 1 62.990000 24 1 21 12 0 656.000
si2_b09_m200.01 1 52.991000 24 1 37 12 0 716.000
si2_b09_m200.06 1 75.988000 26 2 22 15 0 680.00
si2_b09_m200.05 1 66.989000 27 1 37 14 0 637.000
si2_b09_m200.00 1 56.991000 36 1 21 13 0 633.000
si2_b09_m200.02 1 48.992000 24 1 23 13 0 697.000
si2_b09_m200.03 1 82.987000 25 1 21 13 0 620.00
si2_b09_m200.04 1 49.992000 26 1 37 12 0 742.000
si2_b09_m200.09 1 82.987000 32 2 37 13 0 684.000
si2_b09_m200.07 1 66.989000 24 2 22 12 0 651.000
si6_r01_m600.02 1 55001268.536000 71550 34758 309195 21593 100000000 100000000
si6_r01_m600.06 1 58524583.910000 62332 28356 89704 37578 100000000 57639299.000
si6_r01_m600.09 1 20972790.651000 28639 6916 147022 6179 100000000 100000000
si6_r01_m600.08 1 20756331.557000 208294 124995 348497 43084 100000000 100000000
si6_r01_m600.05 1 5229247.033000 46672 18366 30720 10894 100000000 100000000
si6_r01_m600.07 1 38754158.472000 246921 152210 357026 93566 100000000 100000000
si6_r01_m600.03 1 100000000 121812 64262 1465173 27504 100000000 56084050.00
si6_r01_m600.00 1 32986886.231000 49681 19534 497427 8743 100000000 41022238.000
si6_r01_m600.01 1 34803480.066000 620983 394306 348022 235872 100000000 100000000
si6_r01_m600.04 1 31235474.486000 428585 264028 442188 133743 100000000 26235566.000
si2_b06_m200.02 1 47.992000 20 1 22 12 0 610.00
si2_b06_m200.00 1 60.990000 16 2 13 12 0 552.000
si2_b06_m200.01 1 50.992000 15 1 13 11 0 553.000
si2_b06_m200.06 1 39.993000 19 2 15 11 0 641.000
si2_b06_m200.09 1 34.994000 15 1 22 12 0 591.000
si2_b06_m200.07 1 37.994000 15 1 13 12 0 614.000
si2_b06_m200.04 1 33.994000 22 2 13 11 0 552.000
si2_b06_m200.08 1 33.994000 22 2 22 11 0 657.000
si2_b06_m200.03 1 34.994000 23 2 13 12 0 584.000
si2_b06_m200.05 1 51.992000 15 2 15 11 0 731.000
si6_m4Dr2_m1296.05 1 350.946000 714 170 679 179 8 291286.000
si6_m4Dr2_m1296.09 1 1125.828000 987 246 848 175 8 475453.000
si6_m4Dr2_m1296.01 1 331.949000 1692 231 1132 191 8 261450.00
si6_m4Dr2_m1296.06 1 342.947000 1658 177 1490 187 8 317472.000
si6_m4Dr2_m1296.07 1 533.918000 855 172 808 176 8 381012.000
si6_m4Dr2_m1296.03 1 310.952000 1265 166 1199 190 9 200250.00
si6_m4Dr2_m1296.04 1 300.954000 2142 165 1937 230 8 237334.000
si6_m4Dr2_m1296.00 1 359.945000 1586 167 1407 193 9 395677.000
